population size, 35
world simulation time, 50
world size, 25 by 25

gen, mean, max, min, fitness one agent worlds, fitness description, nn description
12, 5.224, 12.571, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
13, 5.453, 11.429, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
14, 5.290, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
15, 5.290, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
16, 4.996, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
17, 5.192, 11.429, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
18, 5.322, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
19, 5.812, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
20, 5.845, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
21, 4.278, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
22, 5.388, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
23, 5.388, 8.000, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
24, 5.290, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
25, 5.551, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
26, 5.551, 9.143, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
27, 5.388, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
28, 5.616, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
29, 5.290, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
30, 5.584, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
31, 5.388, 9.143, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
32, 4.637, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
33, 4.931, 11.429, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
34, 3.984, 8.000, 0.000, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
35, 5.780, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
36, 4.767, 10.286, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
37, 5.192, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
38, 5.584, 10.286, 3.429, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
39, 5.551, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
40, 5.518, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
41, 5.290, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
42, 4.963, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
43, 5.192, 8.000, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
44, 5.224, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
45, 5.551, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
46, 5.453, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
47, 5.747, 9.143, 2.286, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
48, 6.008, 9.143, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
49, 5.584, 10.286, 1.143, True, only perfect match fitness - this agent facing an opposite team agent facing this agent, Communication 5 bits & 2 hidden layers. NO knowledge of others team and has recurrent nodes. Knows own team. 3 Hidden layers.
